SaleID,name,regDate,model,brand,bodyType,fuelType,gearbox,power,kilometer,notRepairedDamage,regionCode,seller,offerType,creatDate,price
673678,揽胜极光 2021款 极光L 249PS R-Dynamic HSE奢享版,2023-10-12,HSE奢享版,揽胜极光,1,3,0,202,215577,0,4898,个人,0,2024-06-27,70
163052,Panamera 2010款 Panamera 4 3.6L,2023-08-28,3.6L,Panamera,6,3,1,288,245852,0,8738,个人,0,2024-06-27,92
171789,奔驰B级 2020款 B 180,2023-07-09,180,奔驰B级,7,3,0,133,286756,1,8315,个人,1,2024-06-27,37
447615,宝马3系 2010款 325i 时尚型,2024-03-21,时尚型,宝马3系,0,1,1,225,173752,1,7941,个人,0,2024-06-27,56
137043,奥迪A6L 2011款 2.8 FSI 舒适型,2023-11-19,舒适型,奥迪A6L,7,2,1,297,144538,1,8156,个人,1,2024-06-27,41
871562,凯迪拉克XTS 2018款 28T 技术型,2023-07-23,技术型,凯迪拉克XTS,1,1,1,65,277284,0,8095,个人,0,2024-06-27,76
266265,别克GL8 2013款 2.4L CT豪华商务舒适版,2023-08-30,CT豪华商务舒适版,别克GL8,0,2,0,163,109095,0,7986,个人,0,2024-06-27,76
172886,探界者 2018款 550T 自动四驱拓界版,2024-04-09,自动四驱拓界版,探界者,3,1,0,297,265184,0,8316,个人,0,2024-06-27,26
973095,蒙迪欧 2013款 2.0L GTDi240豪华运动型,2024-02-26,GTDi240豪华运动型,蒙迪欧,6,5,0,219,74839,0,2937,个人,1,2024-06-27,39
985537,奔驰GLC 2018款 GLC 260 4MATIC 动感型,2023-09-10,动感型,奔驰GLC,7,4,1,224,192288,1,6906,个人,0,2024-06-27,16
620370,凯迪拉克XT5 2018款 28T 四驱豪华型,2023-10-30,四驱豪华型,凯迪拉克XT5,6,1,1,229,93781,1,9214,个人,1,2024-06-27,57
140165,别克GL8 2011款 3.0L XT豪华商务旗舰版,2023-11-22,XT豪华商务旗舰版,别克GL8,3,2,0,277,162550,0,9977,个人,0,2024-06-27,30
121018,奔驰M级 2012款 ML 300,2023-07-03,300,奔驰M级,6,1,0,192,49427,1,8244,个人,0,2024-06-27,18
164645,宝马M4 2014款 M4敞篷轿跑车,2023-10-29,M4敞篷轿跑车,宝马M4,5,6,1,212,110672,0,6267,个人,0,2024-06-27,84
248995,雷克萨斯IS 2009款 300 炫动版,2023-09-01,炫动版,雷克萨斯IS,2,5,1,50,114202,0,7114,个人,0,2024-06-27,58
952529,捷豹XEL 2020款 2.0T 200PS R-DYNAMIC 青春运动版,2024-03-05,青春运动版,捷豹XEL,6,4,1,84,83789,1,5311,个人,0,2024-06-27,84
592425,奥迪A4L 2019款 40 TFSI 时尚型 国VI,2024-02-03,国VI,奥迪A4L,4,4,1,215,231624,0,2312,个人,1,2024-06-27,50
353273,凯迪拉克XT5 2018款 28T 四驱豪华型,2024-03-03,四驱豪华型,凯迪拉克XT5,2,0,0,59,7453,0,5528,个人,1,2024-06-27,84
144537,MINI 2015款 2.0T COOPER S 五门版,2023-08-22,五门版,MINI,6,6,1,172,185173,1,6767,个人,1,2024-06-27,55
548978,本田CR-V 2012款 2.0L 四驱经典版,2024-02-14,四驱经典版,本田CR-V,1,6,1,118,81797,0,1747,个人,1,2024-06-27,53
683687,凯迪拉克XTS 2018款 28T 技术型,2024-02-28,技术型,凯迪拉克XTS,0,0,1,162,166726,0,6356,个人,0,2024-06-27,10
753192,奔驰R级 2017款 R 320 4MATIC 商务型臻藏版,2024-06-10,商务型臻藏版,奔驰R级,3,0,0,50,223241,0,3415,个人,0,2024-06-27,12
583725,Cayman 2015款 Cayman Style Edition 2.7L,2023-10-03,2.7L,Cayman,7,1,0,136,163355,0,3358,个人,0,2024-06-27,90
779024,奔驰C级(进口) 2019款 C 260 4MATIC 轿跑车,2023-08-01,轿跑车,奔驰C级(进口),2,6,1,272,208862,1,6623,个人,0,2024-06-27,18
615723,奔驰GL级 2015款 GL 400 4MATIC动感型,2024-01-29,4MATIC动感型,奔驰GL级,7,2,1,262,53899,0,5121,个人,1,2024-06-27,63
259666,宝马5系 2018款 528Li 上市特别版,2024-03-24,上市特别版,宝马5系,3,4,0,122,245492,0,6779,个人,1,2024-06-27,84
574689,朗逸 2019款 280TSI DSG舒适版 国VI,2024-01-09,国VI,朗逸,4,2,0,250,183118,1,2969,个人,0,2024-06-27,85
574758,捷达 2015款 1.6L 手动时尚型,2024-05-28,手动时尚型,捷达,3,2,0,174,236771,0,8040,个人,1,2024-06-27,97
658853,宝马3系 2021款 325Li M运动套装,2023-11-06,M运动套装,宝马3系,5,3,1,229,242527,1,7364,个人,1,2024-06-27,68
511356,奔驰V级 2017款 V 260 领航版,2024-02-13,领航版,奔驰V级,1,4,1,237,14347,0,9705,个人,0,2024-06-27,17
286745,奔驰C级 2018款 C 200 L 运动版,2023-10-01,运动版,奔驰C级,1,6,0,123,96137,0,9621,个人,1,2024-06-27,54
510271,MINI CLUBMAN 2016款 改款 1.5T COOPER,2023-12-04,COOPER,MINI,1,3,0,265,107244,0,8687,个人,1,2024-06-27,63
954701,天籁 2020款 2.0L XL 舒适版,2023-12-31,舒适版,天籁,0,2,0,185,95739,1,2203,个人,0,2024-06-27,64
265733,奔驰GLB 2022款 GLB 200 时尚型,2024-05-20,时尚型,奔驰GLB,5,6,1,231,270240,1,6483,个人,0,2024-06-27,40
168017,揽胜 2014款 3.0 V6 SC Vogue SE 创世加长版,2024-05-18,创世加长版,揽胜,7,1,0,181,232407,1,1059,个人,0,2024-06-27,63
300583,奔驰GLC 2016款 GLC 260 4MATIC 豪华型,2024-05-18,豪华型,奔驰GLC,4,5,0,128,47256,1,2385,个人,1,2024-06-27,93
272333,奥迪A6L 2017款 30 FSI 舒适型,2023-10-07,舒适型,奥迪A6L,5,0,0,109,234576,0,5471,个人,0,2024-06-27,57
882196,奔驰GLC 2018款 改款 GLC 260 4MATIC 豪华型,2023-11-30,豪华型,奔驰GLC,2,1,0,176,211249,0,9062,个人,1,2024-06-27,70
783605,揽胜运动版 2018款 3.0 V6 HSE DYNAMIC,2023-08-16,DYNAMIC,揽胜运动版,0,1,0,161,47364,0,3313,个人,1,2024-06-27,41
737756,奔驰C级 2017款 改款 C 180 L 时尚型运动版,2023-08-28,时尚型运动版,奔驰C级,0,1,0,148,221951,0,8888,个人,1,2024-06-27,95
137280,奔驰GLB 2022款 GLB 200 时尚型,2023-08-30,时尚型,奔驰GLB,7,6,0,149,257523,0,6532,个人,0,2024-06-27,89
747757,沃尔沃XC90 2022款 B6 智逸豪华版 7座,2023-08-05,7座,沃尔沃XC90,0,4,0,61,178907,0,2760,个人,1,2024-06-27,94
846153,奥迪A6L 2021款 45 TFSI quattro 尊享致雅型,2023-12-08,尊享致雅型,奥迪A6L,6,5,1,132,157068,0,1374,个人,0,2024-06-27,78
701721,宝马M2 2018款 M2,2024-04-26,M2,宝马M2,3,5,0,209,91424,1,3042,个人,1,2024-06-27,7
737001,奔驰GLC 2020款 GLC 300 L 4MATIC 动感型,2024-03-28,动感型,奔驰GLC,6,6,1,156,190218,0,3827,个人,1,2024-06-27,83
984762,英菲尼迪QX80 2016款 5.6L 4WD,2023-10-02,4WD,英菲尼迪QX80,0,4,0,271,105313,1,2910,个人,0,2024-06-27,85
404548,发现 2021款 360PS R-Dynamic S,2023-10-08,S,发现,3,3,0,146,196248,1,5024,个人,1,2024-06-27,8
376354,奔驰E级 2016款 E 300 L 时尚型,2023-11-11,时尚型,奔驰E级,5,1,0,244,298059,1,4701,个人,0,2024-06-27,46
922154,奔驰CLS 2012款 CLS 300 CGI,2023-11-24,CGI,奔驰CLS,4,0,0,78,21719,0,1337,个人,1,2024-06-27,81
139466,奔驰GLB 2022款 GLB 200 动感型,2023-09-09,动感型,奔驰GLB,5,0,1,233,95693,0,3492,个人,1,2024-06-27,66
647332,宝马7系 2013款 730Li 豪华型,2023-08-26,豪华型,宝马7系,4,5,0,272,23674,1,4114,个人,1,2024-06-27,32
761046,沃尔沃XC60(进口) 2012款 T5 智雅版,2023-12-08,智雅版,沃尔沃XC60(进口),2,3,1,110,100235,0,1776,个人,0,2024-06-27,31
299798,奔驰E级 2018款 E 200 运动型 4MATIC,2023-10-02,4MATIC,奔驰E级,2,6,1,237,282138,1,8558,个人,0,2024-06-27,6
709825,宝马X5(进口) 2015款 xDrive28i,2023-11-02,xDrive28i,宝马X5(进口),2,6,0,57,289323,1,2808,个人,0,2024-06-27,100
938033,奥迪A6L 2018款 30周年年型 30 FSI 风尚型,2024-05-04,风尚型,奥迪A6L,2,3,0,238,189406,0,9791,个人,0,2024-06-27,75
520990,宝马5系(进口) 2012款 530i 领先型 旅行版,2023-09-22,旅行版,宝马5系(进口),0,5,0,249,83469,1,5586,个人,0,2024-06-27,43
740222,宝马X5(进口) 2020款 xDrive30i M运动套装,2024-05-30,M运动套装,宝马X5(进口),6,1,1,261,17867,1,8408,个人,1,2024-06-27,55
505554,奔驰S级 2018款 S 320 L,2023-07-11,L,奔驰S级,4,5,1,283,73959,1,4270,个人,1,2024-06-27,34
139947,传祺M6 2021款 Pro 270T 自动豪华版,2023-09-21,自动豪华版,传祺M6,0,0,0,275,298159,1,1280,个人,1,2024-06-27,9
553601,宝马5系 2011款 523Li 豪华型,2023-07-07,豪华型,宝马5系,3,4,0,149,115944,0,4600,个人,1,2024-06-27,79
167163,揽胜极光 2021款 极光L 249PS R-Dynamic HSE奢享版,2023-10-26,HSE奢享版,揽胜极光,6,5,0,266,121896,0,2371,个人,0,2024-06-27,68
866292,Panamera 2010款 Panamera 4 3.6L,2024-06-09,3.6L,Panamera,1,0,1,92,229904,1,1140,个人,1,2024-06-27,2
260036,奔驰B级 2020款 B 180,2024-03-10,180,奔驰B级,3,1,1,114,49340,1,4190,个人,1,2024-06-27,49
890332,宝马3系 2010款 325i 时尚型,2023-10-20,时尚型,宝马3系,1,1,0,109,38876,1,8988,个人,1,2024-06-27,93
657851,奥迪A6L 2011款 2.8 FSI 舒适型,2024-06-04,舒适型,奥迪A6L,2,6,0,251,244970,1,9361,个人,1,2024-06-27,77
157771,凯迪拉克XTS 2018款 28T 技术型,2023-12-29,技术型,凯迪拉克XTS,4,6,1,147,272773,1,3556,个人,1,2024-06-27,23
282790,别克GL8 2013款 2.4L CT豪华商务舒适版,2023-10-27,CT豪华商务舒适版,别克GL8,4,0,0,247,257911,0,5648,个人,1,2024-06-27,21
400866,探界者 2018款 550T 自动四驱拓界版,2024-03-25,自动四驱拓界版,探界者,5,4,1,149,41641,0,2006,个人,1,2024-06-27,41
241996,蒙迪欧 2013款 2.0L GTDi240豪华运动型,2023-10-15,GTDi240豪华运动型,蒙迪欧,3,4,1,125,183593,1,1422,个人,1,2024-06-27,5
